date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,103_010824_reliability.cha,103_010824.wav,37,1024380_1024980,1,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1024980_1027500,2,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1027500_1028770,3,NOF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1028770_1029860,4,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1029860_1031040,5,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1031040_1031940,6,SIL,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1031940_1033900,7,CXN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1033900_1035120,8,TVF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1035120_1036120,9,SIL,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1036120_1036930,10,NOF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1036930_1038030,11,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1038030_1039150,12,CXF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1039150_1040030,13,SIL,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1040030_1040830,14,FAF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1040830_1041830,15,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1041830_1042850,16,TVF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1042850_1043650,17,CXN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1043650_1045570,18,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1045570_1046620,19,NON,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,37,1046620_1047230,20,CXN,,N,False,False,True
