date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28470520_28471560,1,FAN,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28471560_28472760,2,NOF,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28472760_28474140,3,SIL,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28474140_28474940,4,NOF,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28474940_28476150,5,FAN,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28476150_28478470,6,CHN,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28478470_28480690,7,NOF,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28480690_28481290,8,CHN,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28481290_28482290,9,FAF,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28482290_28483090,10,MAF,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28483090_28484970,11,SIL,,N,False,True,False
,,train_Block3_Bergelson.cha,0046_000610.mp3,713,28484970_28485970,12,FAN,,N,False,True,False
