date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,0204_000314_reliability.cha,0204_000314.wav,11,246560_247100,1,CHN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,247100_247190,2,CHN,,246560_247100,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,247190_248730,3,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,248730_249530,4,CXF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,249530_250370,5,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,250370_250470,6,CHN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,250470_251220,7,CHN,,250370_250470,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,251220_253720,8,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,253720_254520,9,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,254520_255940,10,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,255940_256820,11,CHN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,256820_257630,12,CHN,,255940_256820,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,257630_258330,13,CHF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,258330_258430,14,CHF,,257630_258330,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,258430_258860,15,CHN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,258860_259030,16,CHN,,258430_258860,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,259030_259880,17,FAF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,11,259880_262980,18,FAN,,N,False,False,True
