date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,341370_341580,1,CHN,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,341580_342120,2,CHN,,341370_341580,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,342120_342330,3,CHN,,341370_341580,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,342330_342910,4,CHN,,341370_341580,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,342910_344470,5,FAN,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,344470_345200,6,CHN,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,345200_345370,7,CHN,,344470_345200,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,345370_345680,8,CHN,,344470_345200,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,345680_345890,9,CHN,,344470_345200,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,345890_346070,10,CHN,,344470_345200,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,346070_347420,11,SIL,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,347420_348420,12,FAN,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,348420_349810,13,NOF,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,349810_350810,14,FAN,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,350810_351610,15,NOF,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,351610_352550,16,SIL,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,352550_353910,17,TVF,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,353910_354710,18,NOF,,N,False,False,True
,,e20150511_120645_009236_reliability.cha,e20150511_120645_009236.wav,6,354710_356260,19,FAN,,N,False,False,True
