date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,0204_000314_reliability.cha,0204_000314.wav,28,670030_672500,1,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,672500_673320,2,OLF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,673320_673960,3,CHN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,673960_675880,4,OLF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,675880_678610,5,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,678610_679460,6,OLF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,679460_680930,7,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,680930_681810,8,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,681810_683050,9,MAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,683050_683910,10,OLN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,683910_685510,11,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,685510_686690,12,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,686690_688000,13,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,688000_688720,14,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,688720_690560,15,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,690560_692230,16,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,692230_693170,17,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,693170_695350,18,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,695350_696970,19,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,696970_697770,20,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,697770_699990,21,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,699990_701060,22,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,701060_702970,23,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,702970_704610,24,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,704610_705410,25,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,705410_706410,26,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,706410_708020,27,FAF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,708020_709020,28,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,709020_710430,29,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,710430_712900,30,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,712900_713520,31,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,713520_714580,32,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,714580_715830,33,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,715830_718830,34,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,718830_719630,35,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,719630_720630,36,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,720630_721800,37,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,721800_723240,38,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,723240_724100,39,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,724100_725960,40,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,725960_726960,41,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,726960_728680,42,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,728680_730700,43,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,730700_732020,44,FAN,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,732020_733290,45,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,733290_734090,46,NOF,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,734090_734970,47,SIL,,N,False,False,True
,,0204_000314_reliability.cha,0204_000314.wav,28,734970_735970,48,FAN,,N,False,False,True
