date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,101_001125_reliability.cha,101_001125.wav,399,13653380_13654310,1,CHN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13654310_13655760,2,NOF,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13655760_13656560,3,OLN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13656560_13657160,4,CHN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13657160_13659070,5,OLN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13659070_13659540,6,CHN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13659540_13659640,7,CHN,,13659070_13659540,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13659640_13659760,8,CHN,,13659070_13659540,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13659760_13660560,9,NOF,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13660560_13661370,10,CXN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13661370_13662370,11,FAN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13662370_13663180,12,NON,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13663180_13664180,13,CXN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13664180_13665110,14,OLN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13665110_13667590,15,NON,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13667590_13668390,16,SIL,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13668390_13668990,17,FAN,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13668990_13669790,18,NOF,,N,False,False,True
,,101_001125_reliability.cha,101_001125.wav,399,13669790_13670590,19,CXN,,N,False,False,True
