date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,0274_000221_reliability.cha,0274_000221.wav,13,243740_244770,1,MAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,244770_246470,2,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,246470_247360,3,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,247360_248400,4,NOF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,248400_249400,5,TVF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,249400_251380,6,NOF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,251380_251980,7,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,251980_252780,8,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,252780_254360,9,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,254360_254960,10,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,254960_255960,11,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,255960_256890,12,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,256890_257890,13,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,257890_259020,14,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,259020_260160,15,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,260160_260930,16,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,260930_263710,17,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,263710_264710,18,MAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,264710_267060,19,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,267060_267860,20,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,267860_269040,21,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,269040_269840,22,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,269840_270840,23,MAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,270840_272260,24,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,272260_273060,25,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,273060_273940,26,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,273940_275340,27,TVF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,275340_276370,28,SIL,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,276370_277370,29,MAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,277370_277970,30,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,277970_278570,31,CHF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,278570_278780,32,CHF,,277970_278570,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,278780_279780,33,FAF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,279780_280600,34,NOF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,280600_281610,35,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,281610_282450,36,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,282450_284400,37,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,284400_285570,38,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,285570_286570,39,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,286570_287370,40,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,287370_287800,41,CHN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,287800_287970,42,CHN,,287370_287800,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,287970_288970,43,MAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,288970_290270,44,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,290270_292190,45,MAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,292190_292460,46,CHN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,292460_293210,47,CHN,,292190_292460,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,293210_293990,48,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,293990_295070,49,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,295070_295910,50,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,295910_297020,51,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,297020_297820,52,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,297820_298220,53,CHN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,298220_298420,54,CHN,,297820_298220,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,298420_299230,55,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,299230_300960,56,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,300960_301890,57,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,301890_304710,58,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,304710_305510,59,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,305510_306400,60,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,306400_307790,61,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,307790_309700,62,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,309700_310500,63,NOF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,310500_312330,64,OLN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,312330_313590,65,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,313590_314510,66,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,314510_315510,67,MAF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,315510_317850,68,CXN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,317850_318970,69,FAN,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,318970_320330,70,OLF,,N,False,False,True
,,0274_000221_reliability.cha,0274_000221.wav,13,320330_322530,71,CXN,,N,False,False,True
