date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,103_010824_reliability.cha,103_010824.wav,319,7798170_7799490,1,MAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7799490_7800400,2,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7800400_7800920,3,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7801020_7801270,4,CHN,,7800400_7800920,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7801270_7802180,5,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7802180_7803180,6,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7803180_7804210,7,MAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7804210_7805280,8,FAF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7805280_7806270,9,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7806270_7806920,10,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7806920_7808480,11,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7808480_7809080,12,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7809080_7810600,13,MAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7810600_7811410,14,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7811410_7812440,15,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7812440_7813250,16,OLF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7813250_7814380,17,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7814380_7815380,18,MAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7815380_7816180,19,CXN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7816180_7817020,20,NOF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7817020_7818310,21,MAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7818310_7818430,22,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7818430_7819040,23,CHN,,7818310_7818430,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7819040_7819480,24,CHN,,7818310_7818430,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7819480_7820750,25,OLF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7820750_7821420,26,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7821420_7822000,27,CHN,,7820750_7821420,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7822000_7823050,28,MAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7823050_7826030,29,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7826030_7826630,30,OLN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7826630_7827790,31,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7827790_7828520,32,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7828520_7829930,33,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7829930_7830790,34,NOF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,319,7830790_7833100,35,MAN,,N,False,False,True
