clanfile,block_index,block_path,training,reliability
103_010824_reliability,395,data_tree/103_010824_reliability/395.zip,false,true
103_010824_reliability,403,data_tree/103_010824_reliability/403.zip,false,true
103_010824_reliability,408,data_tree/103_010824_reliability/408.zip,false,true
103_010824_reliability,550,data_tree/103_010824_reliability/550.zip,false,true
103_010824_reliability,8,data_tree/103_010824_reliability/8.zip,false,true
e20130903_105737_009228_reliability,10,data_tree/e20130903_105737_009228_reliability/10.zip,false,true
e20130903_105737_009228_reliability,11,data_tree/e20130903_105737_009228_reliability/11.zip,false,true
e20130903_105737_009228_reliability,12,data_tree/e20130903_105737_009228_reliability/12.zip,false,true
e20130903_105737_009228_reliability,15,data_tree/e20130903_105737_009228_reliability/15.zip,false,true
e20130903_105737_009228_reliability,17,data_tree/e20130903_105737_009228_reliability/17.zip,false,true
e20130903_105737_009228_reliability,2,data_tree/e20130903_105737_009228_reliability/2.zip,false,true
e20130903_105737_009228_reliability,20,data_tree/e20130903_105737_009228_reliability/20.zip,false,true
e20130903_105737_009228_reliability,30,data_tree/e20130903_105737_009228_reliability/30.zip,false,true
e20130903_105737_009228_reliability,33,data_tree/e20130903_105737_009228_reliability/33.zip,false,true
e20130903_105737_009228_reliability,5,data_tree/e20130903_105737_009228_reliability/5.zip,false,true
e20150511_120645_009236_reliability,2,data_tree/e20150511_120645_009236_reliability/2.zip,false,true
e20150511_120645_009236_reliability,20,data_tree/e20150511_120645_009236_reliability/20.zip,false,true
e20150511_120645_009236_reliability,23,data_tree/e20150511_120645_009236_reliability/23.zip,false,true
e20150511_120645_009236_reliability,25,data_tree/e20150511_120645_009236_reliability/25.zip,false,true
e20150511_120645_009236_reliability,29,data_tree/e20150511_120645_009236_reliability/29.zip,false,true
e20150511_120645_009236_reliability,3,data_tree/e20150511_120645_009236_reliability/3.zip,false,true
e20150511_120645_009236_reliability,4,data_tree/e20150511_120645_009236_reliability/4.zip,false,true
e20150511_120645_009236_reliability,48,data_tree/e20150511_120645_009236_reliability/48.zip,false,true
e20150511_120645_009236_reliability,5,data_tree/e20150511_120645_009236_reliability/5.zip,false,true
e20150511_120645_009236_reliability,6,data_tree/e20150511_120645_009236_reliability/6.zip,false,true
